ID,Beschreibung,Kategorie ID,Kategorietext,Unterkategorie ID,Unterkategorietext,Status,Angelegt Am,Angelegt Von,Geändert Am,Geändert Von,Auftraggeber,Meldender,Support Team,Bearbeiter,Nr. Nachrichten,Erste Antwort,Letzte Antwort
2000000060, ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,E0008 Quittiert ,"2015.11.25	18:35:21",H2451TK1 ,"2015.12.18	02:00:47",H2851RM1 ,H2451,H2451TK1,46,H2851RM1,5,"2015.11.25	19:35:19","2015.11.26	14:26:08"
2000000070, ,ZSD_SR_BO ,SAP Netweaver Business Objects ,SR_ZSD_BO_FP ,Fallstudienproblem ,E0008 Quittiert ,"2015.11.26	13:49:29",H2741CR1 ,"2016.03.08	09:59:56",H2851AS9 ,H2741,H2741CR1,46,,5,"2015.11.26	14:49:16","2015.11.26	16:08:45"
2000000071, ,ZSD_SR_BO ,SAP Netweaver Business Objects ,SR_ZSD_BO_FP ,Fallstudienproblem ,E0008 Quittiert ,"2015.11.26	14:37:47",H2741CR1 ,"2016.05.31	16:00:40",BORYS ,H2741,H2741CR1,47,H2851LP2,5,"2015.11.26	15:37:34","2016.05.31	18:00:40"
2000000073, ,ZSD_SR_BYD ,SAP Business by Design ,ZSD_SR_BYD_PRM ,Passwortrücksetzung für Masteruser ,E0008 Quittiert ,"2015.11.26	17:40:10",H2851GB2 ,"2016.05.31	16:00:40",BORYS ,H2851,H2851GB2,47,H2851GB2,1,"2016.05.31	18:00:40","2016.05.31	18:00:40"
2000000080, ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SON ,Sonstiges ,E0008 Quittiert ,"2015.11.30	10:15:00",H2702AR1 ,"2015.12.18	14:40:35",H2702AR1 ,H2702,H2702AR1,44,H2851RH3,5,"2015.11.30	11:14:29","2015.12.16	17:14:56"
